x1,x2,x3,p_a,fc,y
0.73159,-8.0014,-19.313,0,60,1
0.52212,-9.4843,-16.984,0,60,1
0.69764,-7.2901,-19.24,0,60,1
0.41937,-10.356,-15.242,0,60,1
0.53475,-9.1539,-18.096,0,60,1
0.38865,-11.041,-15.474,0,60,1
0.73508,-8.2462,-19.14,0,60,1
0.54035,-8.8008,-17.472,0,60,1
0.37487,-10.612,-15.822,0,60,1
0.48986,-9.4244,-20.362,0,60,3
0.48931,-7.9468,-17.88,0,60,3
0.18903,-13.013,-17.246,0,60,3
0.46265,-8.8749,-18.841,0,60,3
0.59919,-7.7235,-19.158,0,60,3
0.20871,-13.208,-17.071,0,60,3
0.2858,-11.018,-17.905,0,60,3
0.49952,-7.7032,-20.234,0,60,3
0.25478,-11.998,-16.757,0,60,3
0.38542,-9.4168,-18.155,0,60,3
0.42469,-9.2282,-20.263,0,60,3
0.42338,-11.61,-18.491,0,60,9
0.40024,-11.122,-18.734,0,60,9
0.26631,-14.046,-16.837,0,60,9
0.38133,-11.285,-19.689,0,60,9
0.44633,-11.609,-16.873,0,60,9
0.43185,-10.236,-20.38,0,60,9
0.41351,-11.72,-18.783,0,60,9
0.36734,-11.76,-15.469,0,60,9
0.40911,-12.197,-15.424,0,60,9
0.41764,-12.654,-16.652,0,60,9
0.35186,-10.858,-19.998,0,60,9
